item,category,cook,status,price_rescaled,verify,cost,dine_price,dine_net,dine_contrib,dine_cm_pct,online_price,markup_pct,zom_net,zom_contrib,zom_cm_pct,swg_net,swg_contrib,swg_cm_pct,onl_contrib_unit_blended,dine_qty,onl_qty,total_qty,dine_contrib_total,onl_contrib_total,total_contrib
Aloo Samosa,Samosa Wala,Deep-fry,,,,5.37,25.0,23.81,18.44,77.4,35.0,40.0,18.13,12.76,36.4,20.76,15.39,44.0,13.36,3651,2334,5985,67324,31194,98518
Chole Bhature [2 Bhature],Chole Wala,Simmer,,,,33.23,150.0,142.86,109.63,76.7,189.0,26.0,97.88,64.65,34.2,112.11,78.88,41.7,67.92,445,632,1077,48785,42927,91712
Bhalla (chole Tikki),Chaat Wala,Deep-fry,,,,21.31,85.0,80.95,59.64,73.7,119.0,40.0,61.63,40.32,33.9,70.59,49.28,41.4,42.38,762,131,893,45446,5552,50998
Mathura Ki Special Kachori Sabji,Kachori Wala,Deep-fry,,,,9.27,32.5,30.95,21.68,70.1,54.0,66.2,27.96,18.69,34.6,32.03,22.76,42.2,19.63,1104,1296,2400,23935,25435,49370
Masala Poori Sabji [4 Pieces],Chole Wala,Deep-fry,,,,11.05,105.0,100.0,88.95,89.0,141.0,34.3,73.02,61.97,43.9,83.64,72.59,51.5,64.41,186,341,527,16545,21965,38510
Mathura Ki Special Bedai Sabji,Kachori Wala,Deep-fry,,,,6.11,32.5,30.95,24.84,80.3,54.0,66.2,27.96,21.85,40.5,32.03,25.92,48.0,22.79,751,686,1437,18655,15631,34286
Kulhad Lassi (250 Ml),Lassi,Assembled,,,,17.87,70.0,66.67,48.8,73.2,96.88,38.4,50.17,32.3,33.3,57.47,39.6,40.9,33.98,541,84,625,26401,2854,29255
Chole Kulche (2 Pc),Chole Wala,Simmer,,,,48.45,150.0,142.86,94.41,66.1,189.0,26.0,97.88,49.43,26.2,112.11,63.66,33.7,52.7,164,210,374,15483,11068,26551
Rasmalai - 100 Gms,Mithai,Milk-reduce,,,,21.34,80.0,76.19,54.85,72.0,,,,,,,,,,279,0,279,15303,0,15303
Jodhpur Special Pyaz Kachori,Kachori Wala,Deep-fry,,,,8.69,30.0,28.57,19.88,69.6,45.0,50.0,23.3,14.61,32.5,26.69,18.0,40.0,15.39,420,437,857,8350,6725,15075
Chole Samosa Chaat,Chaat Wala,Deep-fry,,,,18.38,70.0,66.67,48.29,72.4,70.0,0.0,36.25,17.87,25.5,41.52,23.14,33.1,19.08,247,159,406,11928,3034,14962
Kachori,Kachori Wala,Deep-fry,,,,8.63,20.0,19.05,10.42,54.7,30.0,50.0,15.54,6.91,23.0,17.8,9.17,30.6,7.43,860,640,1500,8961,4755,13716
Malpua (Desi Ghee),Mithai,Deep-fry,,,,13.12,700.0,666.67,653.55,98.0,,,,,,,,,,21,0,21,13711,0,13711
Aloo Paratha,Parathe,Tawa,,,,17.11,99.0,94.29,77.18,81.9,129.0,30.3,66.8,49.69,38.5,76.52,59.41,46.1,51.93,121,80,201,9339,4154,13493
Jalebi Desi Ghee (100 Grams),Mithai,Deep-fry,,,,16.95,60.0,57.14,40.19,70.3,80.09,33.5,41.48,24.53,30.6,47.51,30.56,38.2,25.92,142,290,432,5725,7516,13241
Aloo Pyaz Samosa [1 Samosa],Samosa Wala,Deep-fry,,,,5.37,27.5,26.19,20.82,79.5,41.0,49.1,21.23,15.86,38.7,24.32,18.95,46.2,16.57,205,530,735,4268,8782,13050
Special Kesar Rabdi - 100grams,Mithai,Milk-reduce,,,,21.41,80.0,76.19,54.78,71.9,84.15,5.2,43.58,22.17,26.3,49.92,28.51,33.9,23.63,180,112,292,9852,2646,12498
Dahi Samosa Chaat,Chaat Wala,Deep-fry,,,,14.25,60.0,57.14,42.89,75.1,112.0,86.7,58.0,43.75,39.1,66.44,52.19,46.6,45.69,205,78,283,8792,3564,12356
Pyaz Pakora,Pakora,Deep-fry,STOPPED Aug-26,,"markup +154% looks like a portion or pack mismatch, confirm before acting",4.14,35.0,33.33,29.19,87.6,89.0,154.3,46.09,41.95,47.1,52.79,48.65,54.7,43.49,418,0,418,12201,0,12201
Mix Pakora,Pakora,Deep-fry,STOPPED Aug-26,,"markup +154% looks like a portion or pack mismatch, confirm before acting",2.84,35.0,33.33,30.49,91.5,89.0,154.3,46.09,43.25,48.6,52.79,49.95,56.1,44.79,398,0,398,12135,0,12135
Mathura Ka Peda,Mithai,Milk-reduce,,,,299.76,700.0,666.67,366.91,55.0,,,,,,,,,,32,0,32,11763,0,11763
Jalebi Desi Ghee,Mithai,Deep-fry,,,,16.95,600.0,571.43,554.48,97.0,,,,,,,,,,21,0,21,11544,0,11544
Malpua (Desi Ghee) - 100 Gms,Mithai,Deep-fry,,,,13.12,80.0,76.19,63.07,82.8,113.21,41.5,58.63,45.51,40.2,67.16,54.04,47.7,47.47,144,52,196,9051,2469,11520
Dahi Bhalla Papdi,Chaat Wala,Deep-fry,,,,21.31,100.0,95.24,73.93,77.6,129.0,29.0,66.8,45.49,35.3,76.52,55.21,42.8,47.73,63,106,169,4658,5059,9717
Special Kesar Rabdi,Mithai,Milk-reduce,,,,21.41,700.0,666.67,645.26,96.8,,,,,,,,,,15,0,15,9653,0,9653
Matar Kulche (2 Pc),Chole Wala,Simmer,,,,44.71,150.0,142.86,98.15,68.7,184.92,23.3,95.76,51.05,27.6,109.69,64.98,35.1,54.25,28,111,139,2748,6022,8770
Rabdi Jalebi,Mithai,Milk-reduce,,,,38.36,140.0,133.33,94.97,71.2,,,,,,,,,,90,0,90,8547,0,8547
Rabdi Jalebi (200 Grams),Mithai,Milk-reduce,,,,38.36,140.0,133.33,94.97,71.2,161.83,15.6,83.81,45.45,28.1,96.0,57.64,35.6,48.25,0,175,175,0,8444,8444
Kala Jamun (1pc),Mithai,Deep-fry,,,,12.22,42.27,40.26,28.04,69.6,55.0,30.1,28.48,16.26,29.6,32.63,20.41,37.1,17.21,242,82,324,6786,1412,8198
Aloo Pyaz Paratha,Parathe,Tawa,,,,16.77,99.0,94.29,77.52,82.2,129.0,30.3,66.8,50.03,38.8,76.52,59.75,46.3,52.27,48,78,126,3721,4077,7798
Raj Kachori,Chaat Wala,Deep-fry,,,,36.7,90.0,85.71,49.01,57.2,129.0,43.3,66.8,30.1,23.3,76.52,39.82,30.9,32.34,128,31,159,6273,1002,7275
Kadhi Pakoda Rice/Kadhi Chawal,Rice,Simmer,,,,22.26,129.0,122.86,100.6,81.9,159.0,23.3,82.34,60.08,37.8,94.32,72.06,45.3,62.84,71,0,71,7143,0,7143
Bread Pakoda,Snacks,Deep-fry,STOPPED Aug-26,,,16.07,35.0,33.33,17.26,51.8,45.0,28.6,23.3,7.23,16.1,26.69,10.62,23.6,8.01,354,65,419,6110,521,6631
